* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Desktop\Teegan\20160627_Symcap_1.eds
* Experiment Run End Time = 2016-06-27 17:50:36 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP	NOISE	SPIKE	NOSIGNAL	CTFAIL
A1																		N	N	N	N	N	N	N
A2	304	C	UNKNOWN	VIC	NFQ-MGB	37.0532	36.7135	0.4804				false	0.01	false	10	20		N	N	N	N	N	N	N
A2	304	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	N	N	N	N	N
A3	308	C	UNKNOWN	VIC	NFQ-MGB	36.0251	36.4016	0.5324				false	0.01	false	10	20		N	Y	N	N	N	N	N
A3	308	D	UNKNOWN	FAM	NFQ-MGB	29.5251	29.1616	0.5142				false	0.01	false	10	20		N	Y	N	N	N	N	N
A4	312	C	UNKNOWN	VIC	NFQ-MGB	29.1959	30.1	1.2785				false	0.01	false	10	20		N	Y	N	N	N	N	N
A4	312	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	Y	N	N	N	N	N
A5	316	C	UNKNOWN	VIC	NFQ-MGB	30.5233	30.1783	0.488				false	0.01	false	10	20		N	N	N	N	N	N	N
A5	316	D	UNKNOWN	FAM	NFQ-MGB	31.3379	31.0698	0.3793				false	0.01	false	10	20		N	N	N	N	N	N	N
A6	320	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A6	320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A7	324	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A7	324	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A8	328	C	UNKNOWN	VIC	NFQ-MGB	27.3245	27.2815	0.0608				false	0.01	false	10	20		N	N	N	N	N	N	N
A8	328	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	N	N	N	N	N
A9	332	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	34.7254					false	0.01	false	10	20		Y	Y	N	N	N	Y	Y
A9	332	D	UNKNOWN	FAM	NFQ-MGB	18.4266	23.593	7.3065				false	0.01	false	10	20		Y	Y	N	N	N	Y	Y
A10	336	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A10	336	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A11	340	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
A11	340	D	UNKNOWN	FAM	NFQ-MGB	35.3804	35.3804					false	0.01	false	10	20		N	N	Y	N	N	N	N
A12																		N	N	N	N	N	N	N
B1	301	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.7812					false	0.01	false	10	20		N	N	Y	N	N	N	N
B1	301	D	UNKNOWN	FAM	NFQ-MGB	28.3011	28.3378	0.052				false	0.01	false	10	20		N	N	Y	N	N	N	N
B2	304	C	UNKNOWN	VIC	NFQ-MGB	36.3738	36.7135	0.4804				false	0.01	false	10	20		N	N	N	N	N	N	N
B2	304	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	N	N	N	N	N
B3	308	C	UNKNOWN	VIC	NFQ-MGB	36.778	36.4016	0.5324				false	0.01	false	10	20		N	Y	Y	N	N	N	N
B3	308	D	UNKNOWN	FAM	NFQ-MGB	28.798	29.1616	0.5142				false	0.01	false	10	20		N	Y	Y	N	N	N	N
B4	312	C	UNKNOWN	VIC	NFQ-MGB	31.004	30.1	1.2785				false	0.01	false	10	20		N	Y	N	N	N	N	N
B4	312	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	Y	N	N	N	N	N
B5	316	C	UNKNOWN	VIC	NFQ-MGB	29.8332	30.1783	0.488				false	0.01	false	10	20		N	N	N	N	N	N	N
B5	316	D	UNKNOWN	FAM	NFQ-MGB	30.8016	31.0698	0.3793				false	0.01	false	10	20		N	N	N	N	N	N	N
B6	320	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
B6	320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
B7	324	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
B7	324	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	10	20		N	N	Y	N	N	N	N
