Colony,Date,Depth (m),Latitude,Longitude ,Time,Waypoint,Reef Type ,Reef Area,Bay Area,Reef ID,Color Morph,R Standard,G Standard,R Coral,G Coral,R Ratio,G Ratio,R+G,R/G,Rstand,Gstand,Rcoral,Gcoral,Rratio,Gratio,Add,Divide
301,6/7/16,0.23,21.46075498,-157.809907,11:07,160,Patch,Top,Central,20,Orange,,,,,,,,,,,,,,,,
302,6/7/16,0.2,21.46072598,-157.809903,11:13,161,Patch,Top,Central,20,Orange,,,,,,,,,,,,,,,,
303,6/7/16,0.2,21.46071299,-157.809905,11:19,162,Patch,Top,Central,20,Brown,,,,,,,,,,,,,,,,
304,6/7/16,0.2,21.46066496,-157.809867,11:25,163,Patch,Top,Central,20,Orange,,,,,,,,,,,,,,,,
305,6/7/16,0.25,21.460642,-157.809848,11:27,164,Patch,Top,Central,20,Orange,254.65,186.68,166.93,154.22,0.655527194,0.826119563,1.481646757,0.793501599,-0.35,-68.32,-88.07,-100.78,251.6285714,1.475117096,253.1036885,170.5820996
306,6/7/16,0.35,21.46063504,-157.809799,11:31,165,Patch,Top,Central,20,Orange,,,,,,,,,,-255,,-255,,1,1,0
307,6/7/16,0.2,21.46074199,-157.809799,11:36,166,Patch,Top,Central,20,Orange,,,,,,,,,,-255,,-255,,1,1,0
308,6/7/16,0.5,21.46080804,-157.809775,11:42,167,Patch,Top,Central,20,Orange,,,,,,,,,,-255,,-255,,1,1,0
309,6/7/16,0.7,21.46084903,-157.80978,11:45,168,Patch,Top,Central,20,Brown,,,,,,,,,,-255,,-255,,1,1,0
310,6/7/16,0.4,21.46086596,-157.809832,11:47,169,Patch,Top,Central,20,Orange,,,,,,,,,,-255,,-255,,1,1,0
311,6/7/16,1,21.46085599,-157.809988,12:13,170,Patch,Windward,Central,20,Brown,,,,,,,,,,-255,,-255,,1,1,0
312,6/7/16,3,21.46088096,-157.809972,12:16,171,Patch,Windward,Central,20,Brown,,,,,,,,,,-255,,-255,,1,1,0
313,6/7/16,6,21.46088197,-157.810018,12:18,172,Patch,Windward,Central,20,Orange,,,,,,,,,,-255,,-255,,1,1,0
314,6/7/16,4,21.46090996,-157.809944,12:21,173,Patch,Windward,Central,20,Brown,,,,,,,,,,-255,,-255,,1,1,0
315,6/7/16,2,21.460902,-157.809907,12:23,174,Patch,Windward,Central,20,Brown,247.92,162.1,141.56,145.69,0.570990642,0.898766194,1.469756836,0.635304984,-7.08,-92.9,-113.44,-109.31,16.02259887,1.17664155,17.19924042,13.61723022
