Colony,RC,RRW,TI,CW,JK
301,Orange,Orange,Orange,Orange,Orange
302,Orange,Orange,Orange,Orange,Orange
303,Brown,Brown,Brown,Brown,Brown
304,Orange,Brown,Orange,Orange,Orange
305,Orange,Orange,Orange,Orange,Orange
306,Orange,Orange,Orange,Orange,Orange
307,Orange,Orange,Orange,Orange,Orange
308,Orange,Orange,Orange,Orange,Orange
309,Orange,Brown,Orange,Orange,Brown
310,Orange,Orange,Orange,Orange,Orange
311,Brown,Brown,Orange,Orange,Brown
312,Brown,Brown,Brown,Orange,Brown
313,Orange,Orange,Orange,Orange,Orange
314,Orange,Brown,Brown,Orange,Brown
315,Orange,Brown,Orange,Orange,Brown
316,Orange,Brown,Orange,Orange,Brown
317,Orange,Orange,Orange,Orange,Orange
318,Brown,Brown,Brown,Orange,Brown
319,Brown,Orange,Brown,Brown,Brown
320,Orange,Orange,Brown,Brown,Orange
321,Orange,Brown,Brown,Brown,Brown
322,Orange,Orange,Brown,Brown,Brown
323,Orange,Orange,Brown,Brown,Brown
324,Brown,Brown,Brown,Brown,Brown
325,Orange,Brown,Brown,Brown,Brown
326,Orange,Orange,Orange,Orange,Orange
327,Brown,Brown,Brown,Brown,Brown
328,Orange,Orange,Brown,Brown,Orange
329,Brown,Brown,Brown,Brown,Brown
330,Orange,Orange,Orange,Orange,Orange
331,Orange,Orange,Orange,Orange,Orange
332,Orange,Orange,Brown,Orange,Orange
333,Orange,Orange,Brown,Orange,Orange
334,Brown,Brown,Brown,Brown,Brown
335,Orange,Orange,Brown,Brown,Orange
336,Brown,Orange,Brown,Brown,Orange
337,Orange,Orange,Brown,Brown,Orange
338,Orange,Orange,Orange,Orange,Orange
339,Orange,Orange,Orange,Orange,Orange
340,Orange,Orange,Orange,Orange,Orange
341,Orange,Orange,Orange,Orange,Orange
342,Orange,Orange,Orange,Orange,Orange
343,Orange,Orange,Orange,Orange,Orange
344,Brown,Brown,Brown,Orange,Brown
345,Orange,Orange,Orange,Orange,Orange
346,Orange,Orange,Orange,Orange,Orange
347,Orange,Orange,Orange,Orange,Orange
348,Brown,Brown,Brown,Brown,Brown
349,Orange,Orange,Brown,Orange,Brown
350,Orange,Orange,Orange,Orange,Orange
351,Brown,Brown,Brown,Brown,Brown
352,Orange,Orange,Orange,Orange,Orange
353,Orange,Orange,Orange,Orange,Orange
354,Orange,Brown,Brown,Orange,Brown
355,Orange,Orange,Brown,Orange,Brown
356,Orange,Orange,Brown,Brown,Brown
357,Orange,Orange,Brown,Brown,Brown
358,Brown,Brown,Brown,Brown,Brown
359,Orange,Orange,Brown,Orange,Orange
360,Brown,Brown,Brown,Orange,Brown
361,Orange,Orange,Brown,Orange,Brown
362,Orange,Orange,Orange,Orange,Orange
363,Orange,Orange,Orange,Orange,Orange
364,Orange,Orange,Orange,Orange,Brown
365,Orange,Orange,Orange,Orange,Orange
366,Brown,Brown,Brown,Brown,Orange
367,Orange,Orange,Brown,Orange,Orange
368,Orange,Orange,Orange,Orange,Orange
369,Orange,Orange,Orange,Orange,Orange
370,Orange,Orange,Brown,Brown,Orange
371,Orange,Orange,Orange,Orange,Orange
372,Orange,Orange,Orange,Orange,Brown
373,Orange,Orange,Orange,Orange,Orange
374,Orange,Brown,Brown,Brown,Brown
375,Orange,Orange,Orange,Orange,Orange
376,Orange,Orange,Orange,Orange,Orange
377,Orange,Orange,Orange,Orange,Orange
378,Orange,Orange,Orange,Orange,Orange
379,Orange,Orange,Orange,Orange,Orange
380,Brown,Brown,Brown,Brown,Brown
381,Brown,Orange,Brown,Brown,Brown
382,Orange,Brown,Brown,Brown,Brown
383,Orange,Orange,Brown,Brown,Brown
384,Brown,Brown,Brown,Brown,Brown
385,Orange,Orange,Brown,Brown,Brown
386,Orange,Orange,Orange,Orange,Orange
387,Brown,Brown,Brown,Brown,Brown
388,Orange,Orange,Brown,Orange,Orange
389,Orange,Orange,Orange,Orange,Orange
390,Brown,Brown,Brown,Brown,Brown
391,Brown,Brown,Brown,Brown,Brown
392,Brown,Brown,Brown,Brown,Brown
393,Orange,Orange,Brown,Brown,Orange
