Colony,Majority
301,Orange
302,Orange
303,Brown
304,Orange
305,Orange
306,Orange
307,Orange
308,Orange
309,Orange
310,Orange
311,Brown
312,Brown
313,Orange
314,Brown
315,Orange
316,Orange
317,Orange
318,Brown
319,Brown
320,Orange
321,Brown
322,Brown
323,Brown
324,Brown
325,Brown
326,Orange
327,Brown
328,Orange
329,Brown
330,Orange
331,Orange
332,Orange
333,Orange
334,Brown
335,Orange
336,Brown
337,Orange
338,Orange
339,Orange
340,Orange
341,Orange
342,Orange
343,Orange
344,Brown
345,Orange
346,Orange
347,Orange
348,Brown
349,Orange
350,Orange
351,Brown
352,Orange
353,Orange
354,Brown
355,Orange
356,Brown
357,Brown
358,Brown
359,Orange
360,Brown
361,Orange
362,Orange
363,Orange
364,Orange
365,Orange
366,Brown
367,Orange
368,Orange
369,Orange
370,Orange
371,Orange
372,Orange
373,Orange
374,Brown
375,Orange
376,Orange
377,Orange
378,Orange
379,Orange
380,Brown
381,Brown
382,Brown
383,Brown
384,Brown
385,Brown
386,Orange
387,Brown
388,Orange
389,Orange
390,Brown
391,Brown
392,Brown
393,Orange
394,Brown
395,Brown
396,Brown
397,Brown
398,Orange
399,Brown
400,Orange
401,Orange
402,Brown
403,Orange
404,Brown
405,Orange
406,Orange
407,Brown
408,Brown
409,Orange
410,Orange
411,Brown
412,Orange
413,Orange
414,Orange
415,Brown
416,Brown
417,Orange
418,Brown
419,Brown
420,Brown
421,Orange
422,Brown
423,Orange
424,Orange
425,Orange
426,Brown
427,Brown
428,Brown
429,Orange
430,Brown
431,Orange
432,Orange
433,Orange
434,Orange
435,Orange
436,Brown
437,Orange
438,Orange
439,Brown
440,Orange
441,Brown
442,Brown
443,Orange
444,Orange
445,Brown
446,Brown
447,Brown
448,Brown
449,Orange
450,Orange
451,Orange
452,Brown
453,Brown
454,Brown
455,Orange
456,Brown
457,Orange
458,Orange
459,Orange
460,Orange
461,Orange
462,Orange
463,Orange
464,Orange
465,Orange
466,Orange
467,Orange
468,Orange
469,Orange
470,Orange
471,Brown
472,Orange
473,Brown
474,Orange
475,Brown
476,Orange
477,Orange
478,Orange
479,Orange
480,Orange
481,Brown
482,Brown
483,Brown
484,Orange
485,Brown
486,Brown
487,Brown
488,Brown
489,Orange
490,Brown
491,Orange
492,Orange
493,Brown
494,Orange
495,Orange
496,Orange
497,Orange
498,Orange
499,Brown
500,Orange
501,Orange
502,Orange
503,Orange
504,Orange
505,Orange
506,Brown
507,Orange
508,Orange
509,Brown
510,Brown
511,Orange
512,Orange
513,Brown
514,Orange
515,Brown
516,Orange
517,Orange
518,Brown
519,Brown
520,Orange
521,Orange
522,Orange
523,Orange
524,Orange
525,Orange
526,Orange
527,Orange
528,Brown
529,Brown
530,Orange
531,Orange
532,Brown
533,Orange
534,Brown
535,Brown
536,Orange
537,Orange
538,Brown
539,Orange
540,Brown
541,Brown
542,Brown
543,Brown
544,Brown
545,Brown
546,Brown
547,Orange
548,Brown
549,Orange
550,Orange
551,Orange
552,Brown
553,Brown
554,Brown
555,Orange
556,Orange
557,Orange
558,Brown
559,Orange
560,Orange
561,Orange
562,Orange
563,Brown
564,Orange
565,Brown
566,Brown
567,Orange
568,Orange
569,Brown
570,Orange
571,Brown
572,Orange
573,Brown
574,Orange
575,Brown
576,Brown
577,Orange
578,Brown
579,Brown
580,Orange
581,Brown
582,Orange
583,Brown
584,Orange
585,Brown
586,Orange
587,Brown
588,Orange
589,Brown
590,Brown
591,Orange
592,Brown
593,Orange
594,Brown
