* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Desktop\Teegan\20160627_Symcap_1.eds
* Experiment Run End Time = 2016-06-27 17:50:36 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	304	C	UNKNOWN	VIC	NFQ-MGB	36.3504	36.1258	0.3176				false	0.01	false	15	22		N	N
A2	304	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A3	308	C	UNKNOWN	VIC	NFQ-MGB	34.9503	35.2964	0.4894				false	0.01	false	15	22		Y	N
A3	308	D	UNKNOWN	FAM	NFQ-MGB	29.2069	28.6306	0.815				false	0.01	false	15	22		Y	N
A4	312	C	UNKNOWN	VIC	NFQ-MGB	28.813	29.7517	1.3274				false	0.01	false	15	22		Y	N
A4	312	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A5	316	C	UNKNOWN	VIC	NFQ-MGB	29.9343	29.7139	0.3117				false	0.01	false	15	22		N	N
A5	316	D	UNKNOWN	FAM	NFQ-MGB	30.851	30.6945	0.2214				false	0.01	false	15	22		N	N
A6	320	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A6	320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A7	324	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A7	324	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A8	328	C	UNKNOWN	VIC	NFQ-MGB	27.0856	27.1398	0.0766				false	0.01	false	15	22		N	N
A8	328	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A9	332	C	UNKNOWN	VIC	NFQ-MGB							false	0.01	false	15	22		N	N
A9	332	D	UNKNOWN	FAM	NFQ-MGB							false	0.01	false	15	22		N	N
A10	336	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A10	336	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A11	340	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A11	340	D	UNKNOWN	FAM	NFQ-MGB	35.3886	35.3886					false	0.01	false	15	22		N	Y
A12																		N	N
B1	301	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	35.1407					false	0.01	false	15	22		N	Y
B1	301	D	UNKNOWN	FAM	NFQ-MGB	28.0508	27.9875	0.0896				false	0.01	false	15	22		N	Y
B2	304	C	UNKNOWN	VIC	NFQ-MGB	35.9013	36.1258	0.3176				false	0.01	false	15	22		N	N
B2	304	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B3	308	C	UNKNOWN	VIC	NFQ-MGB	35.6425	35.2964	0.4894				false	0.01	false	15	22		Y	Y
B3	308	D	UNKNOWN	FAM	NFQ-MGB	28.0544	28.6306	0.815				false	0.01	false	15	22		Y	Y
B4	312	C	UNKNOWN	VIC	NFQ-MGB	30.6903	29.7517	1.3274				false	0.01	false	15	22		Y	N
B4	312	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B5	316	C	UNKNOWN	VIC	NFQ-MGB	29.4935	29.7139	0.3117				false	0.01	false	15	22		N	N
B5	316	D	UNKNOWN	FAM	NFQ-MGB	30.5379	30.6945	0.2214				false	0.01	false	15	22		N	N
B6	320	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B6	320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B7	324	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B7	324	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B8	328	C	UNKNOWN	VIC	NFQ-MGB	27.194	27.1398	0.0766				false	0.01	false	15	22		N	N
B8	328	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
