* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160718_Symcap_5.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP	NOISE	SPIKE	NOSIGNAL
A1																		N	N	N	N	N	N
A2	432	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	Y	N	N	N
A2	432	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	39.3528					false	0.01	false	15	22		N	N	Y	N	N	N
A3	436	C	UNKNOWN	VIC	NFQ-MGB	29.4325	28.5634	1.2291				false	0.01	false	15	22		N	Y	N	N	N	N
A3	436	D	UNKNOWN	FAM	NFQ-MGB	29.6853	29.1673	0.7326				false	0.01	false	15	22		N	Y	N	N	N	N
A4	440	C	UNKNOWN	VIC	NFQ-MGB	27.6972	27.3935	0.4294				false	0.01	false	15	22		N	N	N	N	N	N
A4	440	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
A5	444	C	UNKNOWN	VIC	NFQ-MGB	30.1262	30.1245	0.0024				false	0.01	false	15	22		N	N	N	N	N	N
A5	444	D	UNKNOWN	FAM	NFQ-MGB	29.6616	29.6863	0.0349				false	0.01	false	15	22		N	N	N	N	N	N
A6	448	C	UNKNOWN	VIC	NFQ-MGB	27.3569	26.5926	1.0809				false	0.01	false	15	22		N	Y	N	N	N	N
A6	448	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N
A7	452	C	UNKNOWN	VIC	NFQ-MGB	28.8017	28.483	0.4507				false	0.01	false	15	22		N	Y	N	N	N	N
A7	452	D	UNKNOWN	FAM	NFQ-MGB	37.5877	36.7226	1.2235				false	0.01	false	15	22		N	Y	N	N	N	N
A8	456	C	UNKNOWN	VIC	NFQ-MGB	27.8938	27.653	0.3406				false	0.01	false	15	22		N	N	N	N	N	N
A8	456	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
A9	460	C	UNKNOWN	VIC	NFQ-MGB	30.9496	30.5883	0.5109				false	0.01	false	15	22		N	Y	N	N	N	N
A9	460	D	UNKNOWN	FAM	NFQ-MGB	26.6296	26.4086	0.3124				false	0.01	false	15	22		N	Y	N	N	N	N
A10	464	C	UNKNOWN	VIC	NFQ-MGB	31.9049	32.08	0.2476				false	0.01	false	15	22		N	N	N	N	N	N
A10	464	D	UNKNOWN	FAM	NFQ-MGB	27.6167	27.624	0.0103				false	0.01	false	15	22		N	N	N	N	N	N
A11	468	C	UNKNOWN	VIC	NFQ-MGB	28.6032	28.3344	0.3801				false	0.01	false	15	22		N	Y	N	N	N	N
A11	468	D	UNKNOWN	FAM	NFQ-MGB	29.9868	29.4441	0.7675				false	0.01	false	15	22		N	Y	N	N	N	N
A12																		N	N	N	N	N	N
B1	429	C	UNKNOWN	VIC	NFQ-MGB	29.5265	29.5714	0.0636				false	0.01	false	15	22		N	N	N	N	N	N
B1	429	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
B2	432	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	Y	N	N	N
B2	432	D	UNKNOWN	FAM	NFQ-MGB	39.3528	39.3528					false	0.01	false	15	22		N	N	Y	N	N	N
B3	436	C	UNKNOWN	VIC	NFQ-MGB	27.6943	28.5634	1.2291				false	0.01	false	15	22		N	Y	N	N	N	N
B3	436	D	UNKNOWN	FAM	NFQ-MGB	28.6492	29.1673	0.7326				false	0.01	false	15	22		N	Y	N	N	N	N
B4	440	C	UNKNOWN	VIC	NFQ-MGB	27.0899	27.3935	0.4294				false	0.01	false	15	22		N	N	N	N	N	N
B4	440	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
B5	444	C	UNKNOWN	VIC	NFQ-MGB	30.1228	30.1245	0.0024				false	0.01	false	15	22		N	N	N	N	N	N
B5	444	D	UNKNOWN	FAM	NFQ-MGB	29.711	29.6863	0.0349				false	0.01	false	15	22		N	N	N	N	N	N
B6	448	C	UNKNOWN	VIC	NFQ-MGB	25.8283	26.5926	1.0809				false	0.01	false	15	22		N	Y	N	N	N	N
B6	448	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N
B7	452	C	UNKNOWN	VIC	NFQ-MGB	28.1643	28.483	0.4507				false	0.01	false	15	22		N	Y	N	N	N	N
B7	452	D	UNKNOWN	FAM	NFQ-MGB	35.8575	36.7226	1.2235				false	0.01	false	15	22		N	Y	N	N	N	N
B8	456	C	UNKNOWN	VIC	NFQ-MGB	27.4121	27.653	0.3406				false	0.01	false	15	22		N	N	N	N	N	N
B8	456	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
B9	460	C	UNKNOWN	VIC	NFQ-MGB	30.227	30.5883	0.5109				false	0.01	false	15	22		N	Y	N	N	N	N
B9	460	D	UNKNOWN	FAM	NFQ-MGB	26.1877	26.4086	0.3124				false	0.01	false	15	22		N	Y	N	N	N	N
B10	464	C	UNKNOWN	VIC	NFQ-MGB	32.2551	32.08	0.2476				false	0.01	false	15	22		N	N	N	N	N	N
B10	464	D	UNKNOWN	FAM	NFQ-MGB	27.6313	27.624	0.0103				false	0.01	false	15	22		N	N	N	N	N	N
B11	468	C	UNKNOWN	VIC	NFQ-MGB	28.0656	28.3344	0.3801				false	0.01	false	15	22		N	Y	N	N	N	N
B11	468	D	UNKNOWN	FAM	NFQ-MGB	28.9013	29.4441	0.7675				false	0.01	false	15	22		N	Y	N	N	N	N
B12	472	C	UNKNOWN	VIC	NFQ-MGB	28.7368	28.6764	0.0854				false	0.01	false	15	22		N	N	N	N	N	N
B12	472	D	UNKNOWN	FAM	NFQ-MGB	27.9108	27.687	0.3164				false	0.01	false	15	22		N	N	N	N	N	N
C1	429	C	UNKNOWN	VIC	NFQ-MGB	29.6164	29.5714	0.0636				false	0.01	false	15	22		N	N	N	N	N	N
C1	429	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N
C2	433	C	UNKNOWN	VIC	NFQ-MGB	33.6746	33.9121	0.336				false	0.01	false	15	22		N	N	N	N	N	N
C2	433	D	UNKNOWN	FAM	NFQ-MGB	27.5312	27.5296	0.0023				false	0.01	false	15	22		N	N	N	N	N	N
