* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160725_Symcap_08.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	564	C	UNKNOWN	VIC	NFQ-MGB	37.1337	38.3562	1.7288				false	0.01	false	15	22		Y	N
A2	564	D	UNKNOWN	FAM	NFQ-MGB	31.6244	31.3243	0.4244				false	0.01	false	15	22		Y	N
A3	568	C	UNKNOWN	VIC	NFQ-MGB	38.2386	37.9439	0.4168				false	0.01	false	15	22		Y	N
A3	568	D	UNKNOWN	FAM	NFQ-MGB	32.754	32.2589	0.7003				false	0.01	false	15	22		Y	N
A4	572	C	UNKNOWN	VIC	NFQ-MGB	29.4185	29.3374	0.1146				false	0.01	false	15	22		N	N
A4	572	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A5	576	C	UNKNOWN	VIC	NFQ-MGB	30.5557	29.2361	1.8663				false	0.01	false	15	22		Y	N
A5	576	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A6	580	C	UNKNOWN	VIC	NFQ-MGB	28.2576	28.2738	0.0229				false	0.01	false	15	22		N	N
A6	580	D	UNKNOWN	FAM	NFQ-MGB	33.2433	33.3308	0.1238				false	0.01	false	15	22		N	N
A7	584	C	UNKNOWN	VIC	NFQ-MGB	27.4467	27.0626	0.5433				false	0.01	false	15	22		Y	N
A7	584	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A8	588	C	UNKNOWN	VIC	NFQ-MGB	27.0175	26.9191	0.1392				false	0.01	false	15	22		N	N
A8	588	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A9	592	C	UNKNOWN	VIC	NFQ-MGB	25.9247	25.6497	0.3888				false	0.01	false	15	22		N	N
A9	592	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A10	596	C	UNKNOWN	VIC	NFQ-MGB	31.2413	31.4067	0.234				false	0.01	false	15	22		N	N
A10	596	D	UNKNOWN	FAM	NFQ-MGB	26.9233	26.9678	0.0629				false	0.01	false	15	22		N	N
A11	600	C	UNKNOWN	VIC	NFQ-MGB	27.209	26.6681	0.765				false	0.01	false	15	22		Y	N
A11	600	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A12																		N	N
B1	561	C	UNKNOWN	VIC	NFQ-MGB	32.7025	32.1368	0.8				false	0.01	false	15	22		Y	N
B1	561	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B2	564	C	UNKNOWN	VIC	NFQ-MGB	39.5787	38.3562	1.7288				false	0.01	false	15	22		Y	Y
B2	564	D	UNKNOWN	FAM	NFQ-MGB	31.0242	31.3243	0.4244				false	0.01	false	15	22		Y	Y
B3	568	C	UNKNOWN	VIC	NFQ-MGB	37.6491	37.9439	0.4168				false	0.01	false	15	22		Y	N
B3	568	D	UNKNOWN	FAM	NFQ-MGB	31.7637	32.2589	0.7003				false	0.01	false	15	22		Y	N
B4	572	C	UNKNOWN	VIC	NFQ-MGB	29.2564	29.3374	0.1146				false	0.01	false	15	22		N	N
B4	572	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B5	576	C	UNKNOWN	VIC	NFQ-MGB	27.9164	29.2361	1.8663				false	0.01	false	15	22		Y	N
B5	576	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B6	580	C	UNKNOWN	VIC	NFQ-MGB	28.2899	28.2738	0.0229				false	0.01	false	15	22		N	N
B6	580	D	UNKNOWN	FAM	NFQ-MGB	33.4184	33.3308	0.1238				false	0.01	false	15	22		N	N
B7	584	C	UNKNOWN	VIC	NFQ-MGB	26.6784	27.0626	0.5433				false	0.01	false	15	22		Y	N
B7	584	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B8	588	C	UNKNOWN	VIC	NFQ-MGB	26.8207	26.9191	0.1392				false	0.01	false	15	22		N	N
B8	588	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B9	592	C	UNKNOWN	VIC	NFQ-MGB	25.3748	25.6497	0.3888				false	0.01	false	15	22		N	N
B9	592	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B10	596	C	UNKNOWN	VIC	NFQ-MGB	31.5722	31.4067	0.234				false	0.01	false	15	22		N	N
B10	596	D	UNKNOWN	FAM	NFQ-MGB	27.0123	26.9678	0.0629				false	0.01	false	15	22		N	N
B11	600	C	UNKNOWN	VIC	NFQ-MGB	26.1272	26.6681	0.765				false	0.01	false	15	22		Y	N
B11	600	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B12	604	C	UNKNOWN	VIC	NFQ-MGB	30.7962	30.6226	0.2456				false	0.01	false	15	22		N	N
