* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160725_Symcap_09.eds
* Experiment Run End Time = 2016-07-25 14:43:53 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	608	C	UNKNOWN	VIC	NFQ-MGB	28.9743	28.7869	0.265				false	0.01	false	15	22		N	N
A2	608	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A3	612	C	UNKNOWN	VIC	NFQ-MGB	30.8516	30.6842	0.2367				false	0.01	false	15	22		N	N
A3	612	D	UNKNOWN	FAM	NFQ-MGB	28.1799	28.051	0.1822				false	0.01	false	15	22		N	N
A4	616	C	UNKNOWN	VIC	NFQ-MGB	29.781	29.49	0.4116				false	0.01	false	15	22		N	N
A4	616	D	UNKNOWN	FAM	NFQ-MGB	38.0344	38.0344					false	0.01	false	15	22		N	N
A5	620	C	UNKNOWN	VIC	NFQ-MGB	34.9257	34.9932	0.0954				false	0.01	false	15	22		Y	N
A5	620	D	UNKNOWN	FAM	NFQ-MGB	29.6662	29.2627	0.5706				false	0.01	false	15	22		Y	N
A6	624	C	UNKNOWN	VIC	NFQ-MGB	32.4797	32.3083	0.2423				false	0.01	false	15	22		N	N
A6	624	D	UNKNOWN	FAM	NFQ-MGB	29.1386	29.0505	0.1245				false	0.01	false	15	22		N	N
A7	628	C	UNKNOWN	VIC	NFQ-MGB	29.2941	29.079	0.3042				false	0.01	false	15	22		N	N
A7	628	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A8	632	C	UNKNOWN	VIC	NFQ-MGB	26.0255	25.9722	0.0754				false	0.01	false	15	22		N	N
A8	632	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A9	636	C	UNKNOWN	VIC	NFQ-MGB	27.1397	26.8868	0.3576				false	0.01	false	15	22		N	N
A9	636	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A10	640	C	UNKNOWN	VIC	NFQ-MGB	29.253	29.0082	0.3461				false	0.01	false	15	22		N	N
A10	640	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A11	644	C	UNKNOWN	VIC	NFQ-MGB	31.6317	31.344	0.4069				false	0.01	false	15	22		N	N
A11	644	D	UNKNOWN	FAM	NFQ-MGB	26.6105	26.5557	0.0775				false	0.01	false	15	22		N	N
A12																		N	N
B1	605	C	UNKNOWN	VIC	NFQ-MGB	27.4923	27.5239	0.0446				false	0.01	false	15	22		N	N
B1	605	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B2	608	C	UNKNOWN	VIC	NFQ-MGB	28.5995	28.7869	0.265				false	0.01	false	15	22		N	N
B2	608	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B3	612	C	UNKNOWN	VIC	NFQ-MGB	30.5168	30.6842	0.2367				false	0.01	false	15	22		N	N
B3	612	D	UNKNOWN	FAM	NFQ-MGB	27.9221	28.051	0.1822				false	0.01	false	15	22		N	N
B4	616	C	UNKNOWN	VIC	NFQ-MGB	29.199	29.49	0.4116				false	0.01	false	15	22		N	N
B4	616	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	38.0344					false	0.01	false	15	22		N	N
B5	620	C	UNKNOWN	VIC	NFQ-MGB	35.0607	34.9932	0.0954				false	0.01	false	15	22		Y	N
B5	620	D	UNKNOWN	FAM	NFQ-MGB	28.8592	29.2627	0.5706				false	0.01	false	15	22		Y	N
B6	624	C	UNKNOWN	VIC	NFQ-MGB	32.137	32.3083	0.2423				false	0.01	false	15	22		N	N
B6	624	D	UNKNOWN	FAM	NFQ-MGB	28.9625	29.0505	0.1245				false	0.01	false	15	22		N	N
B7	628	C	UNKNOWN	VIC	NFQ-MGB	28.8639	29.079	0.3042				false	0.01	false	15	22		N	N
B7	628	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B8	632	C	UNKNOWN	VIC	NFQ-MGB	25.9189	25.9722	0.0754				false	0.01	false	15	22		N	N
B8	632	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B9	636	C	UNKNOWN	VIC	NFQ-MGB	26.634	26.8868	0.3576				false	0.01	false	15	22		N	N
B9	636	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B10	640	C	UNKNOWN	VIC	NFQ-MGB	28.7635	29.0082	0.3461				false	0.01	false	15	22		N	N
B10	640	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
