* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160727_Symcap_10.eds
* Experiment Run End Time = 2016-07-27 11:48:04 AM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	652	C	UNKNOWN	VIC	NFQ-MGB	26.7609	26.7426	0.0258				false	0.01	false	15	22		N	N
A2	652	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A3	656	C	UNKNOWN	VIC	NFQ-MGB	31.0854	30.7751	0.4389				false	0.01	false	15	22		Y	N
A3	656	D	UNKNOWN	FAM	NFQ-MGB	29.5376	29.0899	0.6331				false	0.01	false	15	22		Y	N
A4	660	C	UNKNOWN	VIC	NFQ-MGB	26.934	26.635	0.423				false	0.01	false	15	22		N	N
A4	660	D	UNKNOWN	FAM	NFQ-MGB	32.6787	32.6374	0.0584				false	0.01	false	15	22		N	N
A5	664	C	UNKNOWN	VIC	NFQ-MGB	26.5771	26.6828	0.1493				false	0.01	false	15	22		N	N
A5	664	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A6	668	C	UNKNOWN	VIC	NFQ-MGB	26.5715	26.4522	0.1688				false	0.01	false	15	22		N	N
A6	668	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A7	672	C	UNKNOWN	VIC	NFQ-MGB	31.7156	31.2541	0.6526				false	0.01	false	15	22		Y	N
A7	672	D	UNKNOWN	FAM	NFQ-MGB	27.4348	27.0957	0.4796				false	0.01	false	15	22		Y	N
A8	676	C	UNKNOWN	VIC	NFQ-MGB	25.436	25.4161	0.0281				false	0.01	false	15	22		N	N
A8	676	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A9	680	C	UNKNOWN	VIC	NFQ-MGB	29.2407	29.2637	0.0325				false	0.01	false	15	22		N	N
A9	680	D	UNKNOWN	FAM	NFQ-MGB	25.9866	25.9655	0.0299				false	0.01	false	15	22		N	N
A10	684	C	UNKNOWN	VIC	NFQ-MGB	24.4157	24.3458	0.0989				false	0.01	false	15	22		N	N
A10	684	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A11	688	C	UNKNOWN	VIC	NFQ-MGB	28.3699	28.3589	0.0157				false	0.01	false	15	22		N	N
A11	688	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A12																		N	N
B1	649	C	UNKNOWN	VIC	NFQ-MGB	32.576	32.2805	0.4179				false	0.01	false	15	22		N	N
B1	649	D	UNKNOWN	FAM	NFQ-MGB	25.7929	26.0213	0.3229				false	0.01	false	15	22		N	N
B2	652	C	UNKNOWN	VIC	NFQ-MGB	26.7244	26.7426	0.0258				false	0.01	false	15	22		N	N
