* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160801_McapSpawn_Adults.eds
* Experiment Run End Time = 2016-08-01 13:17:36 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2																		N
A3																		N
A4																		N
A5																		N
A6																		N
A7																		N
A8																		N
A9																		N
A10	740	C	UNKNOWN	VIC	NFQ-MGB	27.7687	27.5105	0.3651				false	0.01	false	15	22		N
A10	740	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
A11	744	C	UNKNOWN	VIC	NFQ-MGB	28.0781	28.3456	0.3782				false	0.01	false	15	22		N
A11	744	D	UNKNOWN	FAM	NFQ-MGB	27.0864	27.0192	0.095				false	0.01	false	15	22		N
A12																		N
B1																		N
B2																		N
B3																		N
B4																		N
B5																		N
B6																		N
B7																		N
B8																		N
B9																		N
B10	740	C	UNKNOWN	VIC	NFQ-MGB	27.2524	27.5105	0.3651				false	0.01	false	15	22		N
B10	740	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
B11	744	C	UNKNOWN	VIC	NFQ-MGB	28.613	28.3456	0.3782				false	0.01	false	15	22		N
B11	744	D	UNKNOWN	FAM	NFQ-MGB	26.952	27.0192	0.095				false	0.01	false	15	22		N
B12	748	C	UNKNOWN	VIC	NFQ-MGB	25.4835	25.4213	0.088				false	0.01	false	15	22		N
B12	748	D	UNKNOWN	FAM	NFQ-MGB	28.1322	28.1551	0.0323				false	0.01	false	15	22		N
C1																		N
C2																		N
C3																		N
C4																		N
C5																		N
C6																		N
C7																		N
C8																		N
C9	737	C	UNKNOWN	VIC	NFQ-MGB	25.5627	25.4772	0.1209				false	0.01	false	15	22		N
C9	737	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
C10	741	C	UNKNOWN	VIC	NFQ-MGB	28.9207	28.4717	0.635				false	0.01	false	15	22		Y
C10	741	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
C11	745	C	UNKNOWN	VIC	NFQ-MGB	31.8903	32.4612	0.8073				false	0.01	false	15	22		Y
C11	745	D	UNKNOWN	FAM	NFQ-MGB	28.3611	28.4193	0.0823				false	0.01	false	15	22		Y
C12	748	C	UNKNOWN	VIC	NFQ-MGB	25.3591	25.4213	0.088				false	0.01	false	15	22		N
C12	748	D	UNKNOWN	FAM	NFQ-MGB	28.1779	28.1551	0.0323				false	0.01	false	15	22		N
D1																		N
D2																		N
D3																		N
D4																		N
D5																		N
D6																		N
D7																		N
D8																		N
D9	737	C	UNKNOWN	VIC	NFQ-MGB	25.3917	25.4772	0.1209				false	0.01	false	15	22		N
D9	737	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
D10	741	C	UNKNOWN	VIC	NFQ-MGB	28.0226	28.4717	0.635				false	0.01	false	15	22		Y
D10	741	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
D11	745	C	UNKNOWN	VIC	NFQ-MGB	33.032	32.4612	0.8073				false	0.01	false	15	22		Y
