* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160801_Symcap_12.eds
* Experiment Run End Time = 2016-08-01 15:29:13 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
A1																		N
A2	752	C	UNKNOWN	VIC	NFQ-MGB	31.2042	30.6499	0.7839				false	0.01	false	15	22		Y
A2	752	D	UNKNOWN	FAM	NFQ-MGB	28.7652	28.1139	0.9211				false	0.01	false	15	22		Y
A3	756	C	UNKNOWN	VIC	NFQ-MGB	31.6835	32.2102	0.7448				false	0.01	false	15	22		Y
A3	756	D	UNKNOWN	FAM	NFQ-MGB	26.5264	26.7354	0.2957				false	0.01	false	15	22		Y
A4	760	C	UNKNOWN	VIC	NFQ-MGB	32.5199	32.6242	0.1474				false	0.01	false	15	22		N
A4	760	D	UNKNOWN	FAM	NFQ-MGB	27.4898	27.4729	0.0238				false	0.01	false	15	22		N
A5	764	C	UNKNOWN	VIC	NFQ-MGB	29.9011	29.3134	0.8311				false	0.01	false	15	22		Y
A5	764	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
A6	768	C	UNKNOWN	VIC	NFQ-MGB	28.811	28.5957	0.3044				false	0.01	false	15	22		N
A6	768	D	UNKNOWN	FAM	NFQ-MGB	36.5114	36.7356	0.3172				false	0.01	false	15	22		N
A7	772	C	UNKNOWN	VIC	NFQ-MGB	30.4213	30.1919	0.3244				false	0.01	false	15	22		N
A7	772	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
A8	776	C	UNKNOWN	VIC	NFQ-MGB	35.4061	35.1624	0.3446				false	0.01	false	15	22		Y
A8	776	D	UNKNOWN	FAM	NFQ-MGB	31.2141	30.803	0.5813				false	0.01	false	15	22		Y
A9	780	C	UNKNOWN	VIC	NFQ-MGB	39.3988	39.1254	0.3865				false	0.01	false	15	22		Y
A9	780	D	UNKNOWN	FAM	NFQ-MGB	35.9591	35.4195	0.763				false	0.01	false	15	22		Y
A10	784	C	UNKNOWN	VIC	NFQ-MGB	34.8538	34.2438	0.8626				false	0.01	false	15	22		Y
A10	784	D	UNKNOWN	FAM	NFQ-MGB	30.3594	29.7426	0.8722				false	0.01	false	15	22		Y
A11	788	C	UNKNOWN	VIC	NFQ-MGB	29.5545	29.405	0.2113				false	0.01	false	15	22		N
A11	788	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
A12																		N
B1	749	C	UNKNOWN	VIC	NFQ-MGB	27.1756	27.4726	0.4199				false	0.01	false	15	22		N
B1	749	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
B2	752	C	UNKNOWN	VIC	NFQ-MGB	30.0957	30.6499	0.7839				false	0.01	false	15	22		Y
B2	752	D	UNKNOWN	FAM	NFQ-MGB	27.4625	28.1139	0.9211				false	0.01	false	15	22		Y
B3	756	C	UNKNOWN	VIC	NFQ-MGB	32.7369	32.2102	0.7448				false	0.01	false	15	22		Y
B3	756	D	UNKNOWN	FAM	NFQ-MGB	26.9445	26.7354	0.2957				false	0.01	false	15	22		Y
B4	760	C	UNKNOWN	VIC	NFQ-MGB	32.7284	32.6242	0.1474				false	0.01	false	15	22		N
B4	760	D	UNKNOWN	FAM	NFQ-MGB	27.4561	27.4729	0.0238				false	0.01	false	15	22		N
B5	764	C	UNKNOWN	VIC	NFQ-MGB	28.7257	29.3134	0.8311				false	0.01	false	15	22		Y
B5	764	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
B6	768	C	UNKNOWN	VIC	NFQ-MGB	28.3805	28.5957	0.3044				false	0.01	false	15	22		N
B6	768	D	UNKNOWN	FAM	NFQ-MGB	36.9599	36.7356	0.3172				false	0.01	false	15	22		N
