* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\20160811_Symcap_16.eds
* Experiment Run End Time = 2016-08-11 14:30:15 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	918	C	UNKNOWN	VIC	NFQ-MGB	32.5138	33.3422	1.1716				false	0.01	false	15	22		Y	N
A2	918	D	UNKNOWN	FAM	NFQ-MGB	26.8428	26.7497	0.1317				false	0.01	false	15	22		Y	N
A3	922	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	25.9344					false	0.01	false	15	22		N	Y
A3	922	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A4	926	C	UNKNOWN	VIC	NFQ-MGB	26.4091	26.0017	0.5762				false	0.01	false	15	22		Y	N
A4	926	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A5	930	C	UNKNOWN	VIC	NFQ-MGB	27.5609	27.3116	0.3526				false	0.01	false	15	22		N	N
A5	930	D	UNKNOWN	FAM	NFQ-MGB	27.755	27.9372	0.2577				false	0.01	false	15	22		N	N
A6	329	C	UNKNOWN	VIC	NFQ-MGB	26.165	26.1391	0.0366				false	0.01	false	15	22		N	N
A6	329	D	UNKNOWN	FAM	NFQ-MGB	30.9253	30.8	0.1772				false	0.01	false	15	22		N	N
A7	340	C	UNKNOWN	VIC	NFQ-MGB	29.6054	29.5166	0.1256				false	0.01	false	15	22		Y	N
A7	340	D	UNKNOWN	FAM	NFQ-MGB	25.3883	25.0119	0.5324				false	0.01	false	15	22		Y	N
A8	363	C	UNKNOWN	VIC	NFQ-MGB	31.1384	31.0365	0.1441				false	0.01	false	15	22		N	N
A8	363	D	UNKNOWN	FAM	NFQ-MGB	26.8466	26.7354	0.1573				false	0.01	false	15	22		N	N
A9	380	C	UNKNOWN	VIC	NFQ-MGB	27.2476	27.1491	0.1393				false	0.01	false	15	22		N	N
A9	380	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A10	552	C	UNKNOWN	VIC	NFQ-MGB	26.9053	26.7151	0.269				false	0.01	false	15	22		N	N
A10	552	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A11	778	C	UNKNOWN	VIC	NFQ-MGB	27.9086	27.6522	0.3626				false	0.01	false	15	22		N	N
A11	778	D	UNKNOWN	FAM	NFQ-MGB	25.9519	25.871	0.1145				false	0.01	false	15	22		N	N
A12																		N	N
B1	915	C	UNKNOWN	VIC	NFQ-MGB	32.057	31.4206	0.9001				false	0.01	false	15	22		Y	N
B1	915	D	UNKNOWN	FAM	NFQ-MGB	27.8966	27.7284	0.2379				false	0.01	false	15	22		Y	N
B2	918	C	UNKNOWN	VIC	NFQ-MGB	34.1707	33.3422	1.1716				false	0.01	false	15	22		Y	N
B2	918	D	UNKNOWN	FAM	NFQ-MGB	26.6566	26.7497	0.1317				false	0.01	false	15	22		Y	N
B3	922	C	UNKNOWN	VIC	NFQ-MGB	25.9344	25.9344					false	0.01	false	15	22		N	N
B3	922	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B4	926	C	UNKNOWN	VIC	NFQ-MGB	25.5943	26.0017	0.5762				false	0.01	false	15	22		Y	N
B4	926	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B5	930	C	UNKNOWN	VIC	NFQ-MGB	27.0623	27.3116	0.3526				false	0.01	false	15	22		N	N
B5	930	D	UNKNOWN	FAM	NFQ-MGB	28.1194	27.9372	0.2577				false	0.01	false	15	22		N	N
B6	329	C	UNKNOWN	VIC	NFQ-MGB	26.1132	26.1391	0.0366				false	0.01	false	15	22		N	N
B6	329	D	UNKNOWN	FAM	NFQ-MGB	30.6747	30.8	0.1772				false	0.01	false	15	22		N	N
B7	340	C	UNKNOWN	VIC	NFQ-MGB	29.4278	29.5166	0.1256				false	0.01	false	15	22		Y	N
B7	340	D	UNKNOWN	FAM	NFQ-MGB	24.6354	25.0119	0.5324				false	0.01	false	15	22		Y	N
B8	363	C	UNKNOWN	VIC	NFQ-MGB	30.9345	31.0365	0.1441				false	0.01	false	15	22		N	N
B8	363	D	UNKNOWN	FAM	NFQ-MGB	26.6241	26.7354	0.1573				false	0.01	false	15	22		N	N
B9	380	C	UNKNOWN	VIC	NFQ-MGB	27.0506	27.1491	0.1393				false	0.01	false	15	22		N	N
B9	380	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B10	552	C	UNKNOWN	VIC	NFQ-MGB	26.5249	26.7151	0.269				false	0.01	false	15	22		N	N
B10	552	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B11	778	C	UNKNOWN	VIC	NFQ-MGB	27.3958	27.6522	0.3626				false	0.01	false	15	22		N	N
B11	778	D	UNKNOWN	FAM	NFQ-MGB	25.79	25.871	0.1145				false	0.01	false	15	22		N	N
B12																		N	N
C1	915	C	UNKNOWN	VIC	NFQ-MGB	30.7841	31.4206	0.9001				false	0.01	false	15	22		Y	N
C1	915	D	UNKNOWN	FAM	NFQ-MGB	27.5602	27.7284	0.2379				false	0.01	false	15	22		Y	N
C2	919	C	UNKNOWN	VIC	NFQ-MGB	34.0104	34.1792	0.2387				false	0.01	false	15	22		N	N
C2	919	D	UNKNOWN	FAM	NFQ-MGB	26.8715	27.0175	0.2066				false	0.01	false	15	22		N	N
C3	923	C	UNKNOWN	VIC	NFQ-MGB	25.7813	25.6636	0.1664				false	0.01	false	15	22		N	N
C3	923	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
C4	927	C	UNKNOWN	VIC	NFQ-MGB	27.4672	27.5305	0.0895				false	0.01	false	15	22		N	N
C4	927	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
