* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\20160811_Symkcap_15.eds
* Experiment Run End Time = 2016-08-11 12:14:21 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	874	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A2	874	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A3	878	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A3	878	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A4	882	C	UNKNOWN	VIC	NFQ-MGB	27.1178	27.0699	0.0678				false	0.01	false	15	22		N	N
A4	882	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.5517					false	0.01	false	15	22		N	N
A5	886	C	UNKNOWN	VIC	NFQ-MGB	27.5971	27.3084	0.4083				false	0.01	false	15	22		N	N
A5	886	D	UNKNOWN	FAM	NFQ-MGB	39.197	39.197					false	0.01	false	15	22		N	N
A6	890	C	UNKNOWN	VIC	NFQ-MGB	26.7227	26.8536	0.1851				false	0.01	false	15	22		Y	N
A6	890	D	UNKNOWN	FAM	NFQ-MGB	36.6883	35.6989	1.3993				false	0.01	false	15	22		Y	N
A7	894	C	UNKNOWN	VIC	NFQ-MGB	31.8384	31.6545	0.26				false	0.01	false	15	22		N	N
A7	894	D	UNKNOWN	FAM	NFQ-MGB	27.4946	27.4207	0.1045				false	0.01	false	15	22		N	N
A8	898	C	UNKNOWN	VIC	NFQ-MGB	31.987	31.5705	0.589				false	0.01	false	15	22		Y	N
A8	898	D	UNKNOWN	FAM	NFQ-MGB	27.7311	27.3332	0.5627				false	0.01	false	15	22		Y	N
A9	902	C	UNKNOWN	VIC	NFQ-MGB	26.8149	26.685	0.1837				false	0.01	false	15	22		N	N
A9	902	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A10	906	C	UNKNOWN	VIC	NFQ-MGB	29.1427	28.9243	0.3088				false	0.01	false	15	22		N	N
A10	906	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
