* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\20160818_Symcap_19.eds
* Experiment Run End Time = 2016-08-18 14:48:52 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP	NOISE	SPIKE	NOSIGNAL	CTFAIL
A1																		N	N	N	N	N	N	N
A2	953	C	UNKNOWN	VIC	NFQ-MGB	37.1946	36.816	0.5354				false	0.01	false	15	22		N	Y	N	N	N	N	N
A2	953	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
A3	957	C	UNKNOWN	VIC	NFQ-MGB	20.0628	20.0628					false	0.01	false	15	22		N	Y	N	Y	Y	Y	N
A3	957	D	UNKNOWN	FAM	NFQ-MGB	20.6352	18.3433	3.2413				false	0.01	false	15	22		N	Y	N	Y	Y	Y	N
A4																		N	N	N	N	N	N	N
A5																		N	N	N	N	N	N	N
A6																		N	N	N	N	N	N	N
A7																		N	N	N	N	N	N	N
A8																		N	N	N	N	N	N	N
A9																		N	N	N	N	N	N	N
A10																		N	N	N	N	N	N	N
A11																		N	N	N	N	N	N	N
A12																		N	N	N	N	N	N	N
B1	950	C	UNKNOWN	VIC	NFQ-MGB	37.083	37.5717	0.691				false	0.01	false	15	22		N	Y	N	N	N	N	N
B1	950	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
B2	953	C	UNKNOWN	VIC	NFQ-MGB	36.4374	36.816	0.5354				false	0.01	false	15	22		N	Y	N	N	N	N	N
B2	953	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
B3	957	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	20.0628					false	0.01	false	15	22		Y	Y	N	N	N	Y	Y
B3	957	D	UNKNOWN	FAM	NFQ-MGB	16.0513	18.3433	3.2413				false	0.01	false	15	22		Y	Y	N	N	N	Y	Y
B4																		N	N	N	N	N	N	N
B5																		N	N	N	N	N	N	N
B6																		N	N	N	N	N	N	N
B7																		N	N	N	N	N	N	N
B8																		N	N	N	N	N	N	N
B9																		N	N	N	N	N	N	N
B10																		N	N	N	N	N	N	N
B11																		N	N	N	N	N	N	N
B12																		N	N	N	N	N	N	N
C1	950	C	UNKNOWN	VIC	NFQ-MGB	38.0603	37.5717	0.691				false	0.01	false	15	22		N	Y	N	N	N	N	N
C1	950	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
C2	954	C	UNKNOWN	VIC	NFQ-MGB	38.7164	38.7209	0.0064				false	0.01	false	15	22		N	N	N	N	N	N	N
C2	954	D	UNKNOWN	FAM	NFQ-MGB	36.2065	36.0397	0.236				false	0.01	false	15	22		N	N	N	N	N	N	N
C3	958	C	UNKNOWN	VIC	NFQ-MGB	35.8939	35.8216	0.1023				false	0.01	false	15	22		N	N	N	N	N	N	N
C3	958	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N	N
C4																		N	N	N	N	N	N	N
C5																		N	N	N	N	N	N	N
C6																		N	N	N	N	N	N	N
C7																		N	N	N	N	N	N	N
C8																		N	N	N	N	N	N	N
C9																		N	N	N	N	N	N	N
C10																		N	N	N	N	N	N	N
C11																		N	N	N	N	N	N	N
C12																		N	N	N	N	N	N	N
D1	951	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.317					false	0.01	false	15	22		N	N	Y	N	N	N	N
D1	951	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	39.7425					false	0.01	false	15	22		N	N	Y	N	N	N	N
D2	954	C	UNKNOWN	VIC	NFQ-MGB	38.7254	38.7209	0.0064				false	0.01	false	15	22		N	N	N	N	N	N	N
D2	954	D	UNKNOWN	FAM	NFQ-MGB	35.8728	36.0397	0.236				false	0.01	false	15	22		N	N	N	N	N	N	N
D3	958	C	UNKNOWN	VIC	NFQ-MGB	35.7492	35.8216	0.1023				false	0.01	false	15	22		N	N	N	N	N	N	N
