* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = C:\Users\mahdi\Desktop\Teegan\20162906_Symcap_2.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	348	C	UNKNOWN	VIC	NFQ-MGB	36.0475	35.9266	0.1711				false	0.01	false	15	22		N	N
A2	348	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A3	352	C	UNKNOWN	VIC	NFQ-MGB	33.0602	32.9688	0.1293				false	0.01	false	15	22		N	N
A3	352	D	UNKNOWN	FAM	NFQ-MGB	28.2186	28.2855	0.0945				false	0.01	false	15	22		N	N
A4	356	C	UNKNOWN	VIC	NFQ-MGB	36.2285	36.5981	0.5227				false	0.01	false	15	22		Y	N
A4	356	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A5	360	C	UNKNOWN	VIC	NFQ-MGB	34.1871	35.082	1.2655				false	0.01	false	15	22		Y	N
A5	360	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A6	364	C	UNKNOWN	VIC	NFQ-MGB	39.2645	39.2645					false	0.01	false	15	22		N	Y
A6	364	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A7	368	C	UNKNOWN	VIC	NFQ-MGB	31.6503	31.7521	0.1439				false	0.01	false	15	22		N	N
A7	368	D	UNKNOWN	FAM	NFQ-MGB	28.9463	28.9279	0.0259				false	0.01	false	15	22		N	N
A8	372	C	UNKNOWN	VIC	NFQ-MGB	37.0429	36.8007	0.3425				false	0.01	false	15	22		Y	N
A8	372	D	UNKNOWN	FAM	NFQ-MGB	33.6214	33.0719	0.7771				false	0.01	false	15	22		Y	N
A9	376	C	UNKNOWN	VIC	NFQ-MGB	32.6275	32.5616	0.0933				false	0.01	false	15	22		N	N
A9	376	D	UNKNOWN	FAM	NFQ-MGB	28.8727	28.8236	0.0695				false	0.01	false	15	22		N	N
A10	380	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A10	380	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A11	384	C	UNKNOWN	VIC	NFQ-MGB	30.4074	29.9682	0.6212				false	0.01	false	15	22		Y	N
A11	384	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
