WP,Lat,Long,Date,Time
537,21.45506,-157.81441,13:42,7/11/16
536,21.455,-157.81444,13:38,7/11/16
535,21.45499,-157.81444,13:38,7/11/16
534,21.45498,-157.81444,13:37,7/11/16
533,21.45498,-157.81444,13:36,7/11/16
532,21.45497,-157.81444,13:35,7/11/16
531,21.45496,-157.81445,13:34,7/11/16
530,21.45495,-157.81445,13:33,7/11/16
529,21.45493,-157.81447,13:32,7/11/16
528,21.45491,-157.81448,13:31,7/11/16
527,21.45496,-157.81422,13:24,7/11/16
526,21.45498,-157.81424,13:23,7/11/16
525,21.45497,-157.81424,13:22,7/11/16
524,21.45498,-157.81424,13:20,7/11/16
523,21.45499,-157.81424,13:19,7/11/16
522,21.455,-157.81424,13:16,7/11/16
521,21.455,-157.81424,13:14,7/11/16
520,21.455,-157.81424,13:13,7/11/16
519,21.45502,-157.81421,13:11,7/11/16
518,21.45498,-157.81421,13:09,7/11/16
517,21.46465,-157.82852,12:38,7/11/16
516,21.46466,-157.82852,12:36,7/11/16
515,21.46468,-157.82849,12:34,7/11/16
514,21.46468,-157.82849,12:33,7/11/16
513,21.46471,-157.82846,12:31,7/11/16
512,21.46473,-157.82845,12:30,7/11/16
511,21.46475,-157.82841,12:26,7/11/16
510,21.46473,-157.82841,12:25,7/11/16
509,21.46473,-157.82838,12:25,7/11/16
508,21.46472,-157.82837,12:24,7/11/16
507,21.46465,-157.82829,12:16,7/11/16
506,21.46468,-157.82826,12:14,7/11/16
505,21.46469,-157.82826,12:13,7/11/16
504,21.46469,-157.82825,12:12,7/11/16
503,21.46469,-157.82822,12:11,7/11/16
502,21.4647,-157.8282,12:10,7/11/16
501,21.46471,-157.8282,12:08,7/11/16
500,21.4647,-157.8282,12:08,7/11/16
499,21.46471,-157.82829,12:07,7/11/16
498,21.46471,-157.82819,12:06,7/11/16
497,21.46471,-157.82822,12:05,7/11/16
496,21.47923,-157.83629,11:09,7/11/16
495,21.47925,-157.83627,11:07,7/11/16
494,21.47931,-157.83617,11:04,7/11/16
493,21.47932,-157.83609,11:03,7/11/16
492,21.47933,-157.83607,11:02,7/11/16
491,21.47934,-157.83607,11:01,7/11/16
490,21.47934,-157.83607,11:00,7/11/16
489,21.47938,-157.83601,10:55,7/11/16
488,21.479356,-157.83601,10:54,7/11/16
487,21.47938,-157.83607,10:53,7/11/16
486,21.47928,-157.83611,10:34,7/11/16
485,21.4793,-157.83604,10:30,7/11/16
484,21.4793,-157.83601,10:29,7/11/16
483,21.47931,-157.836,10:28,7/11/16
482,21.47932,-157.836,10:26,7/11/16
481,21.47933,-157.83598,10:24,7/11/16
480,21.47933,-157.83598,10:24,7/11/16
479,21.47934,-157.83598,10:23,7/11/16
478,21.47934,-157.83598,10:22,7/11/16
477,21.47935,-157.83598,10:20,7/11/16
476,21.47935,-157.83598,10:20,7/11/16
475,21.46596,-157.81953,14:02,7/8/16
474,21.46595,-157.81935,14:01,7/8/16
473,21.466,-157.81952,14:00,7/8/16
472,21.466,-157.81953,13:59,7/8/16
471,21.46602,-157.81955,13:58,7/8/16
470,21.46605,-157.81953,13:58,7/8/16
469,21.46608,-157.81955,13:57,7/8/16
468,21.46609,-157.81952,13:54,7/8/16
467,21.46611,-157.8195,13:53,7/8/16
466,21.4661,-157.81952,13:52,7/8/16
465,21.46626,-157.819,13:39,7/8/16
464,21.4662,-157.819,13:38,7/8/16
463,21.46614,-157.81906,13:37,7/8/16
462,21.46619,-157.81911,13:36,7/8/16
461,21.46621,-157.81915,13:35,7/8/16
460,21.46629,-157.81915,13:35,7/8/16
459,21.46634,-157.81915,13:31,7/8/16
458,21.46632,-157.81915,13:31,7/8/16
457,21.46632,-157.81903,13:30,7/8/16
456,21.46632,-157.81903,13:30,7/8/16
455,21.46666,-157.81879,13:17,7/8/16
454,21.46664,-157.81868,13:17,7/8/16
453,21.46667,-157.81868,13:16,7/8/16
452,21.46665,-157.81863,13:15,7/8/16
451,21.46665,-157.81862,13:14,7/8/16
450,21.46662,-157.81862,13:13,7/8/16
449,21.46663,-157.81857,13:12,7/8/16
448,21.4666,-157.81859,13:11,7/8/16
447,21.4666,-157.81859,13:10,7/8/16
446,21.46656,-157.81857,13:05,7/8/16
445,21.47256,-157.82951,11:29,7/8/16
444,21.47256,-157.82953,11:29,7/8/16
443,21.47256,-157.82954,11:28,7/8/16
442,21.47257,-157.82959,11:28,7/8/16
441,21.47263,-157.82962,11:26,7/8/16
440,21.47264,-157.82964,11:24,7/8/16
439,21.47264,-157.82964,11:24,7/8/16
438,21.47264,-157.82964,11:23,7/8/16
437,21.47265,-157.82962,11:22,7/8/16
436,21.47267,-157.82962,11:20,7/8/16
435,21.47277,-157.82928,11:09,7/8/16
434,21.47283,-157.82925,11:07,7/8/16
433,21.47285,-157.82936,11:06,7/8/16
432,21.47284,-157.82938,11:04,7/8/16
431,21.47283,-157.82938,11:03,7/8/16
430,21.47282,-157.82938,11:02,7/8/16
429,21.47281,-157.82936,11:01,7/8/16
428,21.47278,-157.82935,11:00,7/8/16
427,21.47277,-157.82933,10:59,7/8/16
426,21.47281,-157.82933,10:59,7/8/16
425,21.47285,-157.82898,10:45,7/8/16
424,21.47283,-157.82896,10:44,7/8/16
423,21.47283,-157.82896,10:44,7/8/16
422,21.47282,-157.82895,10:43,7/8/16
421,21.4728,-157.82895,10:42,7/8/16
420,21.47279,-157.82895,10:41,7/8/16
419,21.47277,-157.82896,10:40,7/8/16
418,21.47276,-157.82896,10:38,7/8/16
417,21.47276,-157.82896,10:38,7/8/16
416,21.47276,-157.82898,10:36,7/8/16
415,21.44991,-157.81172,14:17,7/7/16
414,21.44991,-157.81171,14:16,7/7/16
413,21.4499,-157.81168,14:14,7/7/16
412,21.44989,-157.81168,14:13,7/7/16
411,21.44989,-157.81165,14:12,7/7/16
410,21.44989,-157.81163,14:11,7/7/16
409,21.44988,-157.81161,14:10,7/7/16
408,21.44988,-157.81161,14:09,7/7/16
407,21.44989,-157.8116,14:07,7/7/16
406,21.44991,-157.8116,14:07,7/7/16
405,21.45045,-157.81097,13:51,7/7/16
404,21.45046,-157.81099,13:50,7/7/16
403,21.45047,-157.811,13:49,7/7/16
402,21.4505,-157.811,13:49,7/7/16
401,21.45053,-157.81097,13:48,7/7/16
400,21.45053,-157.81094,13:47,7/7/16
399,21.45049,-157.81088,13:46,7/7/16
398,21.45047,-157.8109,13:46,7/7/16
397,21.45046,-157.81091,13:45,7/7/16
396,21.45045,-157.81091,13:43,7/7/16
395,21.45073,-157.81032,13:23,7/7/16
394,21.45072,-157.81032,13:22,7/7/16
393,21.45067,-157.81032,13:21,7/7/16
392,21.45064,-157.81032,13:19,7/7/16
391,21.45064,-157.81032,13:19,7/7/16
390,21.45063,-157.81032,13:18,7/7/16
389,21.45062,-157.81032,13:17,7/7/16
388,21.45062,-157.81032,13:16,7/7/16
387,21.45062,-157.81032,13:15,7/7/16
386,21.45061,-157.81035,13:15,7/7/16
385,21.45756,-157.80704,11:40,7/7/16
384,21.45756,-157.80704,11:39,7/7/16
383,21.45757,-157.80704,11:38,7/7/16
382,21.45758,-157.80704,11:36,7/7/16
381,21.45758,-157.80705,11:35,7/7/16
380,21.4576,-157.80707,11:34,7/7/16
379,21.45761,-157.80707,11:33,7/7/16
378,21.45761,-157.80705,11:32,7/7/16
377,21.45761,-157.80705,11:31,7/7/16
376,21.45761,-157.80705,11:29,7/7/16
375,21.45759,-157.80704,11:29,7/7/16
374,21.4576,-157.80684,11:17,7/7/16
373,21.45759,-157.80685,11:16,7/7/16
372,21.45758,-157.80687,11:16,7/7/16
371,21.45758,-157.8069,11:14,7/7/16
370,21.45758,-157.8069,11:13,7/7/16
369,21.45774,-157.80699,11:08,7/7/16
368,21.45774,-157.80698,11:07,7/7/16
367,21.45776,-157.80698,11:06,7/7/16
366,21.45777,-157.80693,11:04,7/7/16
365,21.45778,-157.8069,11:02,7/7/16
364,21.45785,-157.80687,10:52,7/7/16
363,21.45781,-157.80678,10:49,7/7/16
362,21.45779,-157.80678,10:47,7/7/16
361,21.45778,-157.80676,10:46,7/7/16
360,21.45778,-157.80676,10:45,7/7/16
359,21.45777,-157.80675,10:44,7/7/16
358,21.45774,-157.80673,10:42,7/7/16
357,21.45772,-157.80675,10:42,7/7/16
356,21.45772,-157.80675,10:41,7/7/16
355,21.45771,-157.80676,10:39,7/7/16
352,21.45054,-157.79462,14:28,7/6/16
351,21.45053,-157.79463,14:27,7/6/16
350,21.45051,-157.79462,14:26,7/6/16
349,21.45049,-157.79463,14:25,7/6/16
348,21.45047,-157.79463,14:24,7/6/16
347,21.45045,-157.79463,14:23,7/6/16
346,21.45045,-157.79462,14:23,7/6/16
345,21.45044,-157.79463,14:21,7/6/16
344,21.45041,-157.79462,14:21,7/6/16
343,21.45039,-157.79463,14:19,7/6/16
342,21.45068,-157.79399,13:54,7/6/16
341,21.4507,-157.79393,13:54,7/6/16
340,21.45077,-157.7939,13:53,7/6/16
339,21.45081,-157.7939,13:53,7/6/16
338,21.45081,-157.79396,13:49,7/6/16
337,21.45079,-157.79399,13:47,7/6/16
336,21.45078,-157.79402,13:46,7/6/16
335,21.45077,-157.79404,13:46,7/6/16
334,21.45075,-157.79402,13:45,7/6/16
333,21.45076,-157.79399,13:43,7/6/16
332,21.45116,-157.79323,13:26,7/6/16
331,21.45114,-157.7932,13:25,7/6/16
330,21.45113,-157.79317,13:24,7/6/16
329,21.45111,-157.79315,13:23,7/6/16
328,21.45109,-157.79314,13:22,7/6/16
327,21.45108,-157.79314,13:20,7/6/16
326,21.45106,-157.79312,13:19,7/6/16
325,21.45104,-157.79314,13:18,7/6/16
324,21.45101,-157.79312,13:17,7/6/16
323,21.451,-157.79315,13:15,7/6/16
322,21.46302,-157.81265,11:48,7/6/16
321,21.46302,-157.81264,11:47,7/6/16
320,21.46301,-157.81264,11:47,7/6/16
319,21.46301,-157.81262,11:46,7/6/16
318,21.46299,-157.81258,11:44,7/6/16
317,21.46299,-157.81259,11:43,7/6/16
316,21.46298,-157.81256,11:42,7/6/16
315,21.46297,-157.81248,11:40,7/6/16
314,21.46301,-157.81252,11:38,7/6/16
313,21.46302,-157.8125,11:37,7/6/16
312,21.46315,-157.81247,11:26,7/6/16
311,21.46313,-157.81245,11:26,7/6/16
310,21.46311,-157.81247,11:23,7/6/16
309,21.46309,-157.81247,11:22,7/6/16
308,21.46307,-157.81248,11:21,7/6/16
307,21.46307,-157.81248,11:20,7/6/16
306,21.46305,-157.81247,11:19,7/6/16
305,21.46305,-157.81248,11:18,7/6/16
304,21.46304,-157.81252,11:17,7/6/16
303,21.46306,-157.81252,11:15,7/6/16
302,21.46325,-157.81256,11:03,7/6/16
301,21.46326,-157.81255,11:02,7/6/16
300,21.46324,-157.81252,11:01,7/6/16
299,21.46323,-157.81248,10:59,7/6/16
298,21.46325,-157.81247,10:58,7/6/16
297,21.46325,-157.81247,10:57,7/6/16
296,21.46323,-157.81245,10:55,7/6/16
295,21.46319,-157.81244,10:55,7/6/16
294,21.46319,-157.81244,10:54,7/6/16
293,21.4632,-157.81245,10:50,7/6/16
283,21.47058,-157.82407,14:56,6/30/16
282,21.47061,-157.8241,14:54,6/30/16
281,21.47059,-157.82411,14:53,6/30/16
280,21.47061,-157.8241,14:53,6/30/16
279,21.47061,-157.82411,14:52,6/30/16
278,21.4706,-157.82413,14:50,6/30/16
277,21.47062,-157.82414,14:48,6/30/16
276,21.47063,-157.82417,14:47,6/30/16
275,21.47069,-157.82419,14:46,6/30/16
274,21.47065,-157.82422,14:45,6/30/16
273,21.47068,-157.82423,14:44,6/30/16
272,21.47104,-157.82332,14:30,6/30/16
271,21.47108,-157.82335,14:29,6/30/16
270,21.47107,-157.82336,14:28,6/30/16
269,21.47108,-157.82343,14:27,6/30/16
268,21.47108,-157.82343,14:26,6/30/16
267,21.47104,-157.82344,14:24,6/30/16
266,21.47102,-157.82344,14:24,6/30/16
265,21.47099,-157.82346,14:22,6/30/16
264,21.47096,-157.82341,14:21,6/30/16
263,21.47097,-157.82336,14:19,6/30/16
262,21.47098,-157.82333,14:18,6/30/16
261,21.47103,-157.82292,14:08,6/30/16
260,21.471,-157.82289,14:01,6/30/16
259,21.471,-157.82289,14:00,6/30/16
258,21.47101,-157.82291,13:59,6/30/16
257,21.47103,-157.82289,13:56,6/30/16
256,21.47106,-157.82289,13:55,6/30/16
255,21.47108,-157.82289,13:54,6/30/16
254,21.47109,-157.82288,13:53,6/30/16
253,21.47112,-157.82286,13:51,6/30/16
252,21.47114,-157.82288,13:49,6/30/16
251,21.4788,-157.83414,12:33,6/30/16
250,21.47882,-157.83418,12:32,6/30/16
249,21.47884,-157.8342,12:31,6/30/16
248,21.47884,-157.83421,12:30,6/30/16
247,21.47885,-157.83424,12:25,6/30/16
246,21.47885,-157.83424,12:25,6/30/16
245,21.47885,-157.83426,12:24,6/30/16
244,21.47887,-157.83427,12:23,6/30/16
243,21.47887,-157.83429,12:22,6/30/16
242,21.47888,-157.8343,12:21,6/30/16
241,21.47888,-157.8343,12:21,6/30/16
240,21.47899,-157.83356,12:05,6/30/16
239,21.47903,-157.83359,12:03,6/30/16
238,21.47905,-157.83363,12:02,6/30/16
237,21.47903,-157.83368,12:00,6/30/16
236,21.47903,-157.83369,11:58,6/30/16
235,21.47901,-157.83371,11:56,6/30/16
234,21.47895,-157.83374,11:54,6/30/16
233,21.47889,-157.83369,11:53,6/30/16
232,21.47894,-157.83363,11:51,6/30/16
231,21.47893,-157.83359,11:49,6/30/16
230,21.47907,-157.83298,11:31,6/30/16
229,21.47908,-157.83296,11:30,6/30/16
228,21.4791,-157.83292,11:28,6/30/16
227,21.4791,-157.83293,11:25,6/30/16
226,21.47929,-157.83281,11:22,6/30/16
225,21.47927,-157.83279,11:20,6/30/16
224,21.47927,-157.83281,11:17,6/30/16
223,21.47924,-157.83279,11:14,6/30/16
222,21.47923,-157.83282,11:11,6/30/16
221,21.47914,-157.83287,11:08,6/30/16
