* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160705_Symcap_4.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	327	C	UNKNOWN	VIC	NFQ-MGB	39.0859	38.894	0.2713				false	0.01	false	15	22		N	N
A2	327	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A3	332	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A3	332	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A4	338	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	Y
A4	338	D	UNKNOWN	FAM	NFQ-MGB	35.6033	36.2443	0.9065				false	0.01	false	15	22		Y	Y
A5	346	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.2774					false	0.01	false	15	22		Y	Y
A5	346	D	UNKNOWN	FAM	NFQ-MGB	37.4104	36.8727	0.7604				false	0.01	false	15	22		Y	Y
A6	364	C	UNKNOWN	VIC	NFQ-MGB	37.7612	37.6396	0.1721				false	0.01	false	15	22		N	N
A6	364	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A7	374	C	UNKNOWN	VIC	NFQ-MGB	36.2085	36.2085					false	0.01	false	15	22		N	N
A7	374	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A8																		N	N
A9																		N	N
A10																		N	N
A11																		N	N
A12																		N	N
B1	315	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B1	315	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B2	327	C	UNKNOWN	VIC	NFQ-MGB	38.7022	38.894	0.2713				false	0.01	false	15	22		N	N
B2	327	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B3	332	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B3	332	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B4	338	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B4	338	D	UNKNOWN	FAM	NFQ-MGB	36.8853	36.2443	0.9065				false	0.01	false	15	22		Y	N
B5	346	C	UNKNOWN	VIC	NFQ-MGB	39.2774	39.2774					false	0.01	false	15	22		Y	N
B5	346	D	UNKNOWN	FAM	NFQ-MGB	36.335	36.8727	0.7604				false	0.01	false	15	22		Y	N
B6	364	C	UNKNOWN	VIC	NFQ-MGB	37.5179	37.6396	0.1721				false	0.01	false	15	22		N	N
B6	364	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B7	374	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.2085					false	0.01	false	15	22		N	Y
B7	374	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B8																		N	N
B9																		N	N
B10																		N	N
B11																		N	N
B12																		N	N
C1	315	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
C1	315	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
C2	329	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
C2	329	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
C3	333	C	UNKNOWN	VIC	NFQ-MGB	31.9623	31.8364	0.178				false	0.01	false	15	22		N	N
