* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\20160804_Symcap_13.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2																		N	N
A3	794	C	UNKNOWN	VIC	NFQ-MGB	28.4364	28.0815	0.5019				false	0.01	false	15	22		Y	N
A3	794	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	35.0263					false	0.01	false	15	22		Y	N
A4	798	C	UNKNOWN	VIC	NFQ-MGB	27.1354	27.0337	0.1438				false	0.01	false	15	22		N	N
A4	798	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	35.6194					false	0.01	false	15	22		N	N
A5	802	C	UNKNOWN	VIC	NFQ-MGB	29.087	28.8314	0.3614				false	0.01	false	15	22		N	N
A5	802	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A6	806	C	UNKNOWN	VIC	NFQ-MGB	27.3706	27.1818	0.267				false	0.01	false	15	22		N	N
A6	806	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A7	810	C	UNKNOWN	VIC	NFQ-MGB	29.1854	28.7763	0.5784				false	0.01	false	15	22		Y	N
A7	810	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
A8	814	C	UNKNOWN	VIC	NFQ-MGB	32.6436	32.2707	0.5273				false	0.01	false	15	22		Y	N
A8	814	D	UNKNOWN	FAM	NFQ-MGB	28.4092	28.0913	0.4495				false	0.01	false	15	22		Y	N
A9	818	C	UNKNOWN	VIC	NFQ-MGB	30.0279	29.8318	0.2773				false	0.01	false	15	22		N	N
A9	818	D	UNKNOWN	FAM	NFQ-MGB	26.5117	26.4804	0.0442				false	0.01	false	15	22		N	N
A10	822	C	UNKNOWN	VIC	NFQ-MGB	26.6679	26.4021	0.3758				false	0.01	false	15	22		N	N
A10	822	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
A11	826	C	UNKNOWN	VIC	NFQ-MGB	26.3465	26.4288	0.1164				false	0.01	false	15	22		Y	N
A11	826	D	UNKNOWN	FAM	NFQ-MGB	34.0373	35.0199	1.3896				false	0.01	false	15	22		Y	N
A12																		N	N
B1																		N	N
B2																		N	N
B3	794	C	UNKNOWN	VIC	NFQ-MGB	27.7266	28.0815	0.5019				false	0.01	false	15	22		Y	N
B3	794	D	UNKNOWN	FAM	NFQ-MGB	35.0263	35.0263					false	0.01	false	15	22		Y	N
B4	798	C	UNKNOWN	VIC	NFQ-MGB	26.932	27.0337	0.1438				false	0.01	false	15	22		N	N
B4	798	D	UNKNOWN	FAM	NFQ-MGB	35.6194	35.6194					false	0.01	false	15	22		N	N
B5	802	C	UNKNOWN	VIC	NFQ-MGB	28.5758	28.8314	0.3614				false	0.01	false	15	22		N	N
B5	802	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B6	806	C	UNKNOWN	VIC	NFQ-MGB	26.9931	27.1818	0.267				false	0.01	false	15	22		N	N
B6	806	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
B7	810	C	UNKNOWN	VIC	NFQ-MGB	28.3673	28.7763	0.5784				false	0.01	false	15	22		Y	N
B7	810	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
B8	814	C	UNKNOWN	VIC	NFQ-MGB	31.8978	32.2707	0.5273				false	0.01	false	15	22		Y	N
B8	814	D	UNKNOWN	FAM	NFQ-MGB	27.7735	28.0913	0.4495				false	0.01	false	15	22		Y	N
