* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20170718_Symcap_6.eds
* Experiment Run End Time = 2016-07-18 13:29:10 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	476	C	UNKNOWN	VIC	NFQ-MGB	30.3407	30.0796	0.3692				false	0.01	false	15	22		N	N
A2	476	D	UNKNOWN	FAM	NFQ-MGB	28.1133	27.9065	0.2925				true	0.01	true	15	22		N	N
A3	480	C	UNKNOWN	VIC	NFQ-MGB	34.3691	33.9509	0.5914				false	0.01	false	15	22		Y	N
A3	480	D	UNKNOWN	FAM	NFQ-MGB	28.7487	28.112	0.9005				true	0.01	true	15	22		Y	N
A4	484	C	UNKNOWN	VIC	NFQ-MGB	28.5341	28.3801	0.2178				false	0.01	false	15	22		N	N
A4	484	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	N
A5	489	C	UNKNOWN	VIC	NFQ-MGB	27.4787	27.3343	0.2042				false	0.01	false	15	22		N	N
A5	489	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	N
A6	493	C	UNKNOWN	VIC	NFQ-MGB	27.2334	27.0107	0.315				false	0.01	false	15	22		Y	N
A6	493	D	UNKNOWN	FAM	NFQ-MGB	31.9143	31.5466	0.5201				true	0.01	true	15	22		Y	N
A7	497	C	UNKNOWN	VIC	NFQ-MGB	30.9682	30.6516	0.4478				false	0.01	false	15	22		Y	N
A7	497	D	UNKNOWN	FAM	NFQ-MGB	28.3481	27.9255	0.5976				true	0.01	true	15	22		Y	N
A8	501	C	UNKNOWN	VIC	NFQ-MGB	27.5537	27.3054	0.3512				false	0.01	false	15	22		N	N
A8	501	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	N
A9	505	C	UNKNOWN	VIC	NFQ-MGB	27.4619	27.2503	0.2992				false	0.01	false	15	22		N	N
A9	505	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	N
